x,kt2,mu2,time_per_call_ns
0.1,10,100,783
0.1,10,200,871
0.1,10,500,865
0.1,10,1000,777
0.1,10,2000,892
0.1,10,5000,881
0.1,20,4,870
0.1,20,5,892
0.1,20,10,845
0.1,20,20,1141
0.1,20,50,1043
0.1,20,100,792
0.1,20,200,1043
0.1,20,500,882
0.1,20,1000,832
0.1,20,2000,919
0.1,20,5000,903
0.1,50,4,893
0.1,50,5,899
0.1,50,10,1396
0.1,50,20,1735
0.1,50,50,922
0.1,50,100,824
0.1,50,200,913
0.1,50,500,950
0.1,50,1000,863
0.1,50,2000,960
0.1,50,5000,1090
0.1,100,4,849
0.1,100,5,869
0.1,100,10,792
0.1,100,20,881
0.1,100,50,839
0.1,100,100,761
0.1,100,200,955
0.1,100,500,884
0.1,100,1000,1090
0.1,100,2000,1043
0.1,100,5000,906
0.1,200,4,860
0.1,200,5,910
0.1,200,10,845
0.1,200,20,927
0.1,200,50,1046
0.1,200,100,812
0.1,200,200,918
0.1,200,500,922
0.1,200,1000,834
0.1,200,2000,918
0.1,200,5000,29756
0.1,500,4,811
0.1,500,5,861
0.1,500,10,822
0.1,500,20,895
0.1,500,50,967
0.1,500,100,786
0.1,500,200,892
0.1,500,500,957
0.1,500,1000,824
0.1,500,2000,925
0.1,500,5000,1085
0.1,1000,4,889
0.1,1000,5,919
0.1,1000,10,861
0.1,1000,20,1067
0.1,1000,50,994
0.1,1000,100,812
0.1,1000,200,933
0.1,1000,500,923
0.1,1000,1000,844
0.1,1000,2000,981
0.1,1000,5000,917
0.1,2000,4,789
0.1,2000,5,844
0.1,2000,10,752
0.1,2000,20,870
0.1,2000,50,881
0.1,2000,100,761
0.1,2000,200,875
0.1,2000,500,848
0.1,2000,1000,781
0.1,2000,2000,855
0.1,2000,5000,858
0.1,5000,4,864
0.1,5000,5,914
0.1,5000,10,858
0.1,5000,20,959
0.1,5000,50,941
0.1,5000,100,836
0.1,5000,200,923
0.1,5000,500,1008
0.1,5000,1000,875
0.1,5000,2000,928
0.1,5000,5000,1155
0.2,1,4,922
0.2,1,5,773
0.2,1,10,719
0.2,1,20,807
0.2,1,50,745
0.2,1,100,702
0.2,1,200,793
0.2,1,500,768
0.2,1,1000,758
0.2,1,2000,845
0.2,1,5000,790
0.2,2,4,748
0.2,2,5,746
0.2,2,10,628
0.2,2,20,709
0.2,2,50,732
0.2,2,100,635
0.2,2,200,697
0.2,2,500,715
0.2,2,1000,762
0.2,2,2000,757
0.2,2,5000,760
0.2,5,4,803
0.2,5,5,787
0.2,5,10,749
0.2,5,20,805
0.2,5,50,778
0.2,5,100,698
0.2,5,200,809
0.2,5,500,763
0.2,5,1000,725
0.2,5,2000,820
0.2,5,5000,878
0.2,10,4,945
0.2,10,5,769
0.2,10,10,684
0.2,10,20,780
0.2,10,50,713
0.2,10,100,762
0.2,10,200,757
0.2,10,500,715
0.2,10,1000,696
0.2,10,2000,756
0.2,10,5000,777
0.2,20,4,729
0.2,20,5,756
0.2,20,10,678
0.2,20,20,782
0.2,20,50,742
0.2,20,100,671
0.2,20,200,740
0.2,20,500,862
0.2,20,1000,694
0.2,20,2000,796
0.2,20,5000,763
0.2,50,4,775
0.2,50,5,796
0.2,50,10,746
0.2,50,20,866
0.2,50,50,790
0.2,50,100,714
0.2,50,200,807
0.2,50,500,759
0.2,50,1000,735
0.2,50,2000,828
0.2,50,5000,787
0.2,100,4,765
0.2,100,5,1041
0.2,100,10,710
0.2,100,20,779
0.2,100,50,756
0.2,100,100,656
0.2,100,200,776
0.2,100,500,732
0.2,100,1000,694
0.2,100,2000,758
0.2,100,5000,780
0.2,200,4,816
0.2,200,5,772
0.2,200,10,717
0.2,200,20,824
0.2,200,50,752
0.2,200,100,723
0.2,200,200,775
0.2,200,500,764
0.2,200,1000,731
0.2,200,2000,806
0.2,200,5000,788
0.2,500,4,729
0.2,500,5,773
0.2,500,10,763
0.2,500,20,783
0.2,500,50,743
0.2,500,100,721
0.2,500,200,794
0.2,500,500,873
0.2,500,1000,1053
0.2,500,2000,804
0.2,500,5000,788
0.2,1000,4,925
0.2,1000,5,975
0.2,1000,10,774
0.2,1000,20,798
0.2,1000,50,770
0.2,1000,100,728
0.2,1000,200,805
0.2,1000,500,777
0.2,1000,1000,737
0.2,1000,2000,901
0.2,1000,5000,796
0.2,2000,4,717
0.2,2000,5,701
0.2,2000,10,660
0.2,2000,20,808
0.2,2000,50,691
0.2,2000,100,850
0.2,2000,200,717
0.2,2000,500,718
0.2,2000,1000,629
0.2,2000,2000,731
0.2,2000,5000,710
0.2,5000,4,743
0.2,5000,5,750
0.2,5000,10,766
0.2,5000,20,794
0.2,5000,50,809
0.2,5000,100,706
0.2,5000,200,814
0.2,5000,500,848
0.2,5000,1000,743
0.2,5000,2000,841
0.2,5000,5000,815
0.3,1,4,921
0.3,1,5,1093
0.3,1,10,863
0.3,1,20,844
0.3,1,50,843
0.3,1,100,777
0.3,1,200,879
0.3,1,500,844
0.3,1,1000,780
0.3,1,2000,877
0.3,1,5000,874
0.3,2,4,759
0.3,2,5,767
0.3,2,10,740
