x,kt2,mu2,time_per_call_ns
0.2,2,2000,4573
0.2,2,5000,3928
0.2,5,4,3781
0.2,5,5,3853
0.2,5,10,3780
0.2,5,20,4074
0.2,5,50,4293
0.2,5,100,3994
0.2,5,200,3914
0.2,5,500,3860
0.2,5,1000,3897
0.2,5,2000,3827
0.2,5,5000,3831
0.2,10,4,4245
0.2,10,5,3773
0.2,10,10,3840
0.2,10,20,3889
0.2,10,50,4051
0.2,10,100,3826
0.2,10,200,4276
0.2,10,500,3931
0.2,10,1000,3892
0.2,10,2000,3826
0.2,10,5000,3911
0.2,20,4,3883
0.2,20,5,3854
0.2,20,10,4282
0.2,20,20,3994
0.2,20,50,3996
0.2,20,100,3850
0.2,20,200,3979
0.2,20,500,3820
0.2,20,1000,4482
0.2,20,2000,3977
0.2,20,5000,3949
0.2,50,4,4053
0.2,50,5,3808
0.2,50,10,3791
0.2,50,20,3959
0.2,50,50,4363
0.2,50,100,3857
0.2,50,200,3861
0.2,50,500,3888
0.2,50,1000,4111
0.2,50,2000,3969
0.2,50,5000,4397
0.2,100,4,3677
0.2,100,5,3919
0.2,100,10,3722
0.2,100,20,3991
0.2,100,50,3815
0.2,100,100,33205
0.2,100,200,3993
0.2,100,500,3771
0.2,100,1000,3881
0.2,100,2000,3755
0.2,100,5000,3710
0.2,200,4,3807
0.2,200,5,4040
0.2,200,10,4104
0.2,200,20,3845
0.2,200,50,3914
0.2,200,100,5376
0.2,200,200,3728
0.2,200,500,3875
0.2,200,1000,4224
0.2,200,2000,3999
0.2,200,5000,3760
0.2,500,4,3778
0.2,500,5,4089
0.2,500,10,3774
0.2,500,20,4322
0.2,500,50,3850
0.2,500,100,3845
0.2,500,200,3707
0.2,500,500,3683
0.2,500,1000,3876
0.2,500,2000,3804
0.2,500,5000,4161
0.2,1000,4,3737
0.2,1000,5,4045
0.2,1000,10,4131
0.2,1000,20,4004
0.2,1000,50,4164
0.2,1000,100,4242
0.2,1000,200,4047
0.2,1000,500,3790
0.2,1000,1000,3989
0.2,1000,2000,3993
0.2,1000,5000,3799
0.2,2000,4,3759
0.2,2000,5,4186
0.2,2000,10,3926
0.2,2000,20,3900
0.2,2000,50,3838
0.2,2000,100,4045
0.2,2000,200,4158
0.2,2000,500,5048
0.2,2000,1000,3966
0.2,2000,2000,4099
0.2,2000,5000,3872
0.2,5000,4,3765
0.2,5000,5,3994
0.2,5000,10,4022
0.2,5000,20,4364
0.2,5000,50,3846
0.2,5000,100,3908
0.2,5000,200,3964
0.2,5000,500,3832
0.2,5000,1000,3962
0.2,5000,2000,4579
0.2,5000,5000,4157
0.3,1,4,3798
0.3,1,5,3877
0.3,1,10,4029
0.3,1,20,5161
0.3,1,50,4313
0.3,1,100,4067
0.3,1,200,4091
0.3,1,500,3719
0.3,1,1000,3837
0.3,1,2000,3773
0.3,1,5000,3838
0.3,2,4,4200
0.3,2,5,3838
0.3,2,10,4187
0.3,2,20,4061
0.3,2,50,3800
0.3,2,100,4105
0.3,2,200,4511
0.3,2,500,3801
0.3,2,1000,3835
0.3,2,2000,33269
0.3,2,5000,3824
0.3,5,4,3731
0.3,5,5,3788
0.3,5,10,4036
0.3,5,20,3863
0.3,5,50,3811
0.3,5,100,3877
0.3,5,200,3772
0.3,5,500,3959
0.3,5,1000,4184
0.3,5,2000,3926
0.3,5,5000,3763
0.3,10,4,3838
0.3,10,5,3861
0.3,10,10,3740
0.3,10,20,3939
0.3,10,50,4012
0.3,10,100,3809
0.3,10,200,3760
0.3,10,500,3786
0.3,10,1000,3861
0.3,10,2000,3837
0.3,10,5000,3792
0.3,20,4,4242
0.3,20,5,4567
0.3,20,10,3907
0.3,20,20,3915
0.3,20,50,3808
0.3,20,100,3921
0.3,20,200,4163
0.3,20,500,5075
0.3,20,1000,3839
0.3,20,2000,3861
0.3,20,5000,3804
0.3,50,4,3745
0.3,50,5,3948
0.3,50,10,4136
0.3,50,20,3837
0.3,50,50,3813
0.3,50,100,3859
0.3,50,200,3775
0.3,50,500,3791
0.3,50,1000,4260
0.3,50,2000,3814
0.3,50,5000,3811
0.3,100,4,3640
0.3,100,5,3760
0.3,100,10,3679
0.3,100,20,3813
0.3,100,50,4523
0.3,100,100,4351
0.3,100,200,4127
0.3,100,500,3898
0.3,100,1000,3746
0.3,100,2000,3914
0.3,100,5000,4441
0.3,200,4,3829
0.3,200,5,3988
0.3,200,10,3720
0.3,200,20,3779
0.3,200,50,3857
0.3,200,100,3862
0.3,200,200,4286
0.3,200,500,3777
0.3,200,1000,4129
0.3,200,2000,4173
0.3,200,5000,3805
0.3,500,4,3843
0.3,500,5,4596
0.3,500,10,3804
0.3,500,20,3748
0.3,500,50,3815
0.3,500,100,3867
0.3,500,200,3744
0.3,500,500,3696
0.3,500,1000,4364
0.3,500,2000,3781
0.3,500,5000,3830
0.3,1000,4,3765
0.3,1000,5,3951
0.3,1000,10,3845
0.3,1000,20,34103
0.3,1000,50,4052
0.3,1000,100,3892
0.3,1000,200,3962
0.3,1000,500,3779
0.3,1000,1000,3815
0.3,1000,2000,3938
0.3,1000,5000,4525
